Name, Scale, err.Scale, AAE, err.AAE, Red.chisq, A, err.A, B, err.B, alpha.BrC, err.alpha.BrC, Red.chisq.1, A.p, err.A.p, B.p, err.B.p, Red.chisq.2
AIN16, 174993.646063491, 2640.13220463831, 1.26342067094735, 0.0598675153085912, 0.606429461120271, 15099.6872265328, 43.4600979294919, 215505042092.328, 3005974498.96048, 3.838, 0.192, 0.0069880820113987, 10113.668957675, 1246.78989728838, 1100540.13569016, 153782.107181108, 0.626319297656752
AIN17, 190509.585923592, 4020.90102128383, 1.24113807399765, 0.0840086163760379, 1.18579242428665, 19569.2386021507, 467.450355045514, 24430487837762, 3399196816765.54, 4.615, 2.246, 0.627273866387435, 13348.9479351256, 2402.5996098618, 1293835.52026181, 295516.06314558, 1.46349272083548
AIN18, 156952.834972342, 2819.45245144271, 1.28447880457124, 0.0713021511989852, 0.859408690862318, 11550.9891259848, 285.097291734616, 26814532578.5496, 2807872163.62212, 3.514, 1.377, 0.434557057707153, 7548.09226339994, 1235.4663428144, 914089.115039166, 152774.703386326, 1.00117410201015
AIN19, 209232.318920719, 4040.50621785504, 1.31309749133116, 0.0769318036306518, 0.992968354016972, 12800.1175125626, 285.734827986336, 85866902071.6819, 7849431014.35048, 3.682, 1.227, 0.381174429111283, 7799.13400607497, 1478.53400689043, 1093389.57432558, 183493.408934938, 1.15666565626683
AIN20, 127373.85400834, 2551.93429466599, 1.27301117860806, 0.0795208394842565, 1.06868665711013, 10227.9353268783, 311.528636277071, 60802286452.7154, 8455978580.29847, 3.683, 1.895, 0.725731502252644, 6774.46431995771, 1237.66490782725, 773580.711688449, 152828.926227411, 1.31621805460998
AIN21, 243159.651658773, 3987.51835333981, 1.46930095310096, 0.0646274321304608, 0.716348229458977, 4385.49811768965, 199.690049593142, 132247668.655661, 10981593.8110137, 2.65, 0.931, 0.582317400103964, 1940.85015067819, 552.785348293027, 657514.182515507, 70065.8472067131, 0.912077983974035
AIN22, 157777.721795294, 2800.06868767231, 1.32316789450238, 0.0703487127280683, 0.838818423270773, 8764.99812601837, 243.224487193251, 6169752104.82743, 611149409.776028, 3.286, 1.246, 0.465709812496772, 5363.758071636, 960.345121179991, 793269.533545899, 119353.551900033, 0.986801425000191
AIN23, 221479.892610598, 4980.88175502222, 1.34860717813523, 0.0898667934632702, 1.34596844113675, 10579.2473167988, 342.319417976404, 43083947972.9603, 5098899505.43579, 3.579, 1.55, 0.74378455238495, 5976.55307708772, 1494.7994613811, 1004032.17531096, 186321.919379799, 1.65296753472566
AIN24, 124286.8216826, 2552.92598436388, 1.21556565391462, 0.0818392025371038, 1.12321446359955, 15102.4712331663, 349.167322977629, 8276317029825.32, 1185469788235.13, 4.49, 2.279, 0.574438588062945, 10831.955060932, 1785.94491579067, 916574.393206075, 218924.381197658, 1.36536026684048
AIN25, 294188.474789953, 6575.3204715167, 1.47195744014514, 0.0893100817534108, 1.3294877178188, 5909.06792513651, 195.413502739705, 9034224924.68061, 774692716.256467, 3.353, 1.056, 0.617702872995303, 2317.67869359663, 910.131860857472, 781507.133689302, 115265.903227745, 1.69192006779004
AIN26, 231702.339681517, 3398.50337833853, 1.35864445823597, 0.0578214457893857, 0.573204689499918, 9495.4492474944, 291.611168441457, 474623686.050319, 38563861.6872567, 2.799, 0.945, 0.365739919065551, 5662.42838072862, 913.359234388368, 1011592.52976877, 114065.802532876, 0.660765254582597
AIN27, 334788.640228788, 5335.18773128851, 1.43688648592355, 0.0628933356274275, 0.676528000840498, 7846.13575424398, 282.674485645284, 431246605.921087, 33235726.006908, 2.776, 0.881, 0.44683369511776, 3783.33725251557, 892.137562090193, 1046296.57677999, 112577.641124218, 0.823614867773451
AIN28, 151590.541129544, 1880.69210654016, 1.244770189953, 0.0485873848516552, 0.410197139992955, 13373.158058298, 464.802768537132, 111877979.477829, 12583396.5026834, 2.543, 1.291, 0.401978923730273, 10300.90287438, 1069.66553174524, 1015657.13681811, 131622.240017269, 0.496028448366657
AIN29, 1055239.96533731, 25197.5613222119, 1.69520870813879, 0.0956028667543679, 1.51702909877371, 4421.62646067562, 165.418594609158, 6880743112.84994, 426665695.760763, 3.27, 0.718, 0.603413230571503, 100, 912.727602158869, 935165.655838524, 119034.903299445, 2.31518469941176
